[03:12:24] [main/INFO]: ModLauncher running: args [--username, hugoo_669, --version, forge-47.3.0, --gameDir, C:\Users\Omar\curseforge\minecraft\Instances\survie moddée, --assetsDir, C:\Users\Omar\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, f54c362d5b61496e9cf8d9952f70db84, --accessToken, ????????, --clientId, ZTM4ZDk1M2UtN2VhNC00OGE0LWFiMmQtY2ExNjRjNWU1OTI2, --xuid, 2535468356127766, --userType, msa, --versionType, release, --width, 1920, --height, 1080, --quickPlayPath, C:\Users\Omar\curseforge\minecraft\Install\quickPlay\java\1731204741761.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.3.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[03:12:24] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 10 arch amd64 version 10.0
[03:12:26] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[03:12:26] [main/INFO]: Trying GL version 4.6
[03:12:26] [main/INFO]: Requested GL version 4.6 got version 4.6
[03:12:26] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Omar/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[03:12:26] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 3070/PCIe/SSE2 GL version 4.6.0 NVIDIA 566.03, NVIDIA Corporation
[03:12:27] [main/INFO]: Found mod file [1.20.1][Forge] RPG-HUD-3.10.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file ad_astra-forge-1.20.1-1.15.5.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file aether-1.20.1-1.5.0-neoforge.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file alexsmobs-1.22.9.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file almanac-1.20.x-forge-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file amendments-1.20-1.2.11.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file ancient_elements-1.3.4.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file AngelRing2-1.20.1-2.2.2.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file appliedenergistics2-forge-15.2.13.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file ars_nouveau-1.20.1-4.12.4-all.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file athena-forge-1.20.1-3.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.9-all.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
[03:12:27] [main/INFO]: Found mod file baubley-heart-canisters-1.20.1-1.0.5.jar of type MOD with provider {mods folder locator at C:\Users\Omar\curseforge\minecraft\Instances\survie moddée\mods}
